#OTU ID,blank1..,blank2..,blank3.Joe.,NTC1..,NTC2..,ConsensusLineage,S008824,S008825,S008826,S008827,S008834,S008835,S008836,S008837,S008844,S008845,S008846,S008847,S008854,S008855,S008856,S008857,S009020,S009021,S009022,S009023,S009030,S009032,S009033,S009040,S009041,S009042,S009043,S009050,S009051,S009052,S009053,S009064,S009065,S009066,S009067,S009074,S009075,S009076,S009077,S009084,S009085,S009086,S009087,S009090,S009095,S009096,S009097,Sum
OTU150,0,0,0,4,2,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; ; f__; g__; s__,0.862116041,0.086906062,0.566937644,0.011118566,0.939182237,0.135177453,0.017305777,0.614647502,0.013797116,0.906110927,0.822518775,0.048105321,0.388023439,0.953938773,0.341343723,0.792685888,0.301655757,0.8736309,0.913430646,0.949814238,0.008846349,0.436448876,0.522642193,0.410016491,0.917134831,0.970112991,0.403849679,0.020718495,0.953486784,0.004370716,0.960843113,0.180561878,0.001425917,0.88784565,0.001921742,0.230885312,0.397245147,0.934298908,0.693756884,0.676983386,0.33795767,0.846787248,0.743007143,0.201258283,0.932046643,0.00164535,0.636531979,23.85107644
OTU73085,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Paspalum; s__Paspalum_flaccidum; ,6.83E-05,0,4.70E-05,0,0,0,0,0,0,0,0,0,0,5.12E-05,0,3.03E-05,0,0,0.000101192,5.99E-05,0,0,4.03E-05,0,0,2.93E-05,0,0,0,0,5.77E-05,0,0,0,0,0,5.81E-05,0,0.000115935,0,3.09E-05,0,8.61E-05,0,6.19E-05,0,0,0.000838021
OTU18620,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Megathyrsus; s__Megathyrsus_maximus; ,0,0,0,0,0,0,0,0,0,0,0,0,0.000142918,0,2.97E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000637644,0,0,0,0,0,0,0,0,0.000810304
OTU69354,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; g__Prolobus; s__Prolobus_nitidulus; ,0,0,0.000140971,0,0,0.000104384,0,0,0,0,0,0,0,0,2.97E-05,0,0,0,0,0,0,0.000297663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000237406,0.000810165
OTU91071,0,0,3,0,0,d__Viridiplantae; k__Streptophyta; p__Pinidae; c__Pinales; o__Pinaceae; f__; g__Pinus; s__Pinus_thunbergii; ,0,0,0,0,0,0,0,0,0,0,5.40E-05,0,0,0,0,0,0,0,0,0,3.63E-05,0,0,0.00010755,0,0,0.000183318,0,0,0,0,0,0,0,0,0,5.81E-05,0,0,0,0,7.04E-05,0,0,0,0,0.000237406,0.000747054
OTU40931,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Paspalum; s__Paspalum_dilatatum; ,0,0,0,0,0.000108313,0,0,2.85E-05,0,3.32E-05,5.40E-05,0,0.000142918,5.12E-05,0,3.03E-05,0,0,0,3.00E-05,0,0,0,3.59E-05,0,5.85E-05,0,0,0,0,0,0,0,3.68E-05,0,0,0,0,5.80E-05,0,0,0,0,6.69E-05,0,0,0,0.000734649
OTU4861,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Malpighiales; o__Salicaceae; f__; g__Populus; ; s__,0,0,0,0,0,0.000730689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000730689
OTU102257,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Neptunia; s__Neptunia_monosperma; ,0,6.83E-05,0,2.40E-05,0,0,6.23E-05,2.85E-05,4.16E-05,0,0,0,0,0,0,0,0,0,0,0,7.25E-05,0,0,0,0,0,0,0.000190078,0,9.93E-05,0,0,4.32E-05,0,0,0,0,0,0,0,0,0,0,6.69E-05,0,3.10E-05,0,0.000727666
OTU69806,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Paspalum; s__Paspalum_notatum; ,6.83E-05,0,0,0,0,0,0,0,0,6.64E-05,0,0,0,2.56E-05,0,3.03E-05,0,0,0,3.00E-05,0,0,0,0,0,0,0,0,0,0,2.88E-05,0,0,0,0,0,0,0,0,0,0,0,8.61E-05,0.00026772,6.19E-05,0,4.75E-05,0.000712572
OTU45932,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Vachellia; s__Vachellia_nebrownii; ,0,0,0,0,0,0,6.23E-05,0,8.31E-05,0,0,0,0,0,8.92E-05,0,0,3.05E-05,0,0,3.63E-05,7.44E-05,0,0,0,0,0,0.000190078,0,0,0,3.25E-05,0,0,0,0,0,0,0,0,3.09E-05,0,0,0,0,6.21E-05,0,0.000691352
OTU37475,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; g__Bejaranoa; s__Bejaranoa_semistriata; ,0,0,0.000187961,0,0,0.000104384,0,0,0,0,0,0,0,0,2.97E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000174358,0,0,0,0,0,0,0,0,0,0.000189925,0.000686369
OTU36577,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Mimosa; s__Mimosa_detinens; ,0,6.83E-05,0,7.19E-05,0,0,9.34E-05,0,4.16E-05,0,0,2.50E-05,0,0,0,0,0,0,0,0,7.25E-05,0,0,3.59E-05,0,0,0,0,0,6.62E-05,0,0,0,0,0,0,0,0,0,0,6.18E-05,0,8.61E-05,0,0,6.21E-05,0,0.000684653
OTU7117,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Chamaecrista; ; s__,0,0,0,7.19E-05,0,0,0,0,0.000124673,0,0,0.000175201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000274977,0,0,0,0,0,0,0,0,0,0,0,0,3.73E-05,0,0,0,0,0,0,0,0.000684073
OTU98948,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Solanales; o__Solanaceae; f__Solanoideae; g__Phrodus; s__Phrodus_bridgesii; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.70E-05,0,0,0,0,0.000595327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000672339
OTU3632,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; ; g__; s__,0,0,0,0,0,0,0,0,4.16E-05,0,0,0,0,0,2.97E-05,0,0,0,0,0,0,0,0,0,0,0,9.17E-05,0.000380156,0,0,0,0,0,0,0,0,0,0,0,0,6.18E-05,0,0,0,0,6.21E-05,0,0.000666998
OTU23071,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; ; g__; s__,0,0,4.70E-05,0,5.42E-05,0,0,8.56E-05,0,6.64E-05,0,0,0,7.69E-05,0,0,0,0,0,0,0,0,0,0,0,2.93E-05,0,0,3.42E-05,0,0,6.50E-05,0,0,0,0,0.000116239,0,5.80E-05,0,3.09E-05,0,0,0,0,0,0,0.000663541
OTU28151,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Glycine; s__Glycine_max; ,0,0,0,0,0,0,0,0,0,0,0,2.50E-05,0,0,0,0,0,0,0,3.00E-05,0,0,0,0,0,0,0,0,0,0.000264892,0,0,0,0,0,0,0,0,0,0,0.000339873,0,0,0,0,0,0,0.000659756
OTU35442,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Tragus; s__Tragus_racemosus; ,0,0,0.000328932,0,0,0,0,0,0,0,0,0,0,2.56E-05,0,3.03E-05,0,0,5.06E-05,0,0,0,0,3.59E-05,8.26E-05,0,9.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000645621
OTU52817,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Hildaea; s__Hildaea_pallens; ,0,0,0,0,0,0,0,0,0,0,5.40E-05,0,0,5.12E-05,0,0,0,3.05E-05,0,0,0,0,0,0,0.000247852,0,0,0,0,0,0,0,0,0,0,0,0,0.000104954,0,0,0,0,0,0.00013386,0,0,0,0.000622439
OTU54842,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Melinis; s__Melinis_repens; ,0,0,0,0,0,0,0,0,0,0,0,0,0.000142918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88E-05,3.25E-05,0,0,0,0,0,0.000104954,0,0,6.18E-05,0,0,0.00020079,0,0,4.75E-05,0.000619289
OTU11669,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; ; g__; s__,0,0,0.000375922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000165235,0,0,0,3.42E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09E-05,0,0,0.000606238
OTU64126,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Urochloa; s__Urochloa_venosa; ,0,0,0.000234951,0,5.42E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000149808,0,7.44E-05,0,0,0,0,0,0,0,0,0,3.25E-05,0,0,0,0,0,0,5.80E-05,0,0,0,0,0,0,0,0,0.000603816
OTU90336,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Conzattia; s__Conzattia_multiflora; ,0,0,0,2.40E-05,0,0.000104384,0,0,4.16E-05,0,0,2.50E-05,0.000285837,0,2.97E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31E-05,0,0,0,0,0,0,5.81E-05,0,0,0,0,0,0,0,0,0,0,0.000601742
OTU13174,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; ; g__; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25E-05,0,0,0,0,0,0,0,0,0,0,0,0.000535439,0,0,0,0.000567955
OTU6367,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Libidibia; ; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000561725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000561725
OTU65588,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Mutisioideae; g__Polyachyrus; s__Polyachyrus_sphaerocephalus; ,0,0,0.000281942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000148832,0,0,0,0,0,0,0,0,0,3.25E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.50E-05,0.000558252
OTU54606,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Solanales; o__Convolvulaceae; f__; g__Operculina; s__Operculina_turpethum; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000130064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042733,0.000557395
OTU24997,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Dinebra; s__Dinebra_retroflexa; ,0,0,0,0,0,0,0,0,0,3.32E-05,0,0,0,2.56E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000104954,0,0,0.00012359,0,0,0.00026772,0,0,0,0.000555093
OTU1519,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Chrysopogon; ; s__,0,0,0,0,0,0,0,0,0,3.32E-05,0,0,0,0,0,0,0,6.10E-05,7.59E-05,0,0,0,0,3.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000173903,0,0,0,8.61E-05,0,3.09E-05,0,4.75E-05,0.000544354
OTU57633,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Setaria; s__Setaria_lachnea; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000289838,0,0,0,0.000172132,0,3.09E-05,0,0,0.0004929
OTU84459,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Umtiza; s__Umtiza_listeriana; ,0,0,0,2.40E-05,0,0.000104384,6.23E-05,0,4.16E-05,0,0,2.50E-05,0,0,5.95E-05,3.03E-05,0,0,0,0,3.63E-05,0,0,3.59E-05,0,0,0,0,0,3.31E-05,0,0,0,0,0,0,0,0,0,0,3.09E-05,0,0,0,0,0,0,0.000483131
OTU24429,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Astragalus; ; s__,0,0,0.000375922,0,0,0.000104384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000480306
OTU95045,6,0,0,124,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Rosales; o__Rosaceae; f__Dryadoideae; g__Dryas; s__Dryas_grandis; ,0,0,0,0,5.42E-05,0,0,0,0,0,0.000378194,0,0,0,0,0,0,0,0,0,0,0,4.03E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000472604
OTU45000,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Danthonioideae; g__Austroderia; s__Austroderia_richardii; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97E-05,0,0,0,0,0,0,0,0,3.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000104954,0,7.47E-05,3.09E-05,0,0.000172132,0,0,0,0,0.000448243
OTU100,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; g__Poa; ; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000366636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.04E-05,0,0,0,0,0,0.000437014
OTU102761,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Amaranthaceae; f__Chenopodioideae; g__Atriplex; s__Atriplex_gmelinii; ,0,0,0,2.40E-05,5.42E-05,0,0,0,0,0,0,2.50E-05,0,0,0,0,0,3.05E-05,0,0,0,0,4.03E-05,0,8.26E-05,0,0,0,0,0,2.88E-05,3.25E-05,0,0,0,0,0,0,0,0,0,0,8.61E-05,0,0,3.10E-05,0,0.000434988
OTU13044,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Chloris; s__Chloris_nutans; ,0,0,0,0,0,0,0,0,0,0,0.000108056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.61E-05,0.00020079,0,0,0,0.000429062
OTU49872,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Piptadenia; s__Piptadenia_flava; ,0,6.83E-05,0,0,0,0,3.11E-05,2.85E-05,0,0,0,0,0,0,0,0,7.70E-05,0,0,0,0,0,0,3.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,5.81E-05,0,0,0,3.09E-05,0,0,0,0,9.31E-05,0,0.000422925
OTU26736,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; ; g__; s__,0,0,4.70E-05,0,0,0,0,2.85E-05,0,3.32E-05,0,0,0,2.56E-05,0,0,0,0,0,3.00E-05,0,0,4.03E-05,0,0,2.93E-05,0,0,3.42E-05,0,0,3.25E-05,0,0,0,0,0,0,0,0,0,0,0,6.69E-05,3.09E-05,0,0,0.000398353
OTU35334,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Sohnsia; s__Sohnsia_filifolia; ,0,0,0,0,0,0,0,0,0,0,5.40E-05,0,0,2.56E-05,0,6.07E-05,0,0,2.53E-05,5.99E-05,0,0,0,0,0,0,0,0,3.42E-05,0,0,3.25E-05,0,0,0,0,0,0.000104954,0,0,0,0,0,0,0,0,0,0.000397186
OTU4231,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; ; g__; s__,0,0,0,0,0,0,0,0,0,0,0,0,0.000142918,0,0,0,0,0,0,0,0,0,0,0,0,0,9.17E-05,0,0,0,0,0,0,3.68E-05,0,0,0,0,5.80E-05,0,0,0,0,6.69E-05,0,0,0,0.000396295
OTU38107,0,0,5,0,0,d__Viridiplantae; k__Streptophyta; p__Pinidae; c__Pinales; o__Pinaceae; f__; g__Pinus; s__Pinus_strobus; ,0.000136519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25E-05,0,0,0,0,0,9.17E-05,0,0,0,0,0,0,3.68E-05,0,0,5.81E-05,0,0,0,0,0,0,0,0,0,0,0.000395628
OTU21935,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; ; g__; s__,0,0,0,0,0,0.000104384,0,0,0,0,0,0,0,0,2.97E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000190078,0,3.31E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10E-05,0,0.000388359
OTU96502,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Cichorioideae; g__Munnozia; s__Munnozia_annua; ,0,0,4.70E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000148832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000189925,0.000385746
OTU94346,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Polygonaceae; f__Polygonoideae; g__Rumex; s__Rumex_crispus; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000380156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000380156
OTU75968,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; g__Bromus; s__Bromus_pumpellianus; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000379849,0.000379849
OTU3799,0,0,3,0,0,d__Viridiplantae; k__Streptophyta; p__Pinidae; c__Pinales; o__Pinaceae; f__; g__Pinus; s__Pinus_tropicalis; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63E-05,0,0,0,0,0,0,0,0,0,0,3.25E-05,0,7.36E-05,0,0,0.000232477,0,0,0,0,0,0,0,0,0,0,0.000374889
OTU20485,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Miscanthus; ; s__,0,0,4.70E-05,0,0,0.000208768,0,0,0,0,0,0,0,2.56E-05,2.97E-05,0,0,0,2.53E-05,0,0,0,0,0,0,0,0,0,0,0,2.88E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00036525
OTU40384,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Danthonioideae; g__Danthonia; s__Danthonia_spicata; ,0,0,0,0,0,0,0,0,0,3.32E-05,0,2.50E-05,0,0,5.95E-05,3.03E-05,0,0,2.53E-05,0,0,0,0,3.59E-05,0,0,0,0,0,0,0,3.25E-05,0,0,0,0,0,0,0,3.73E-05,0,0,0,0,3.09E-05,0,4.75E-05,0.000357482
OTU69958,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; g__Bromus; s__Bromus_catharticus; ,0.000136519,0,0,0,0,0,0,0,0,0,0.000162083,0,0,2.56E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09E-05,0,0,0,0,0,0,0.000355118
OTU21415,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; ; g__; s__,0,0,0,0,0,0,3.11E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000247852,0,0,0,6.83E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000347279
OTU3481,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; ; f__; g__; s__,0,0,0,2.40E-05,0,0.000104384,0,0,0,0,0,0,0,0,0,3.03E-05,0,0,0,0,0,7.44E-05,0,0,0,0,0,0,0,3.31E-05,0,0,0,0,0,0,0,0,0,0,3.09E-05,0,0,0,0,0,4.75E-05,0.000344602
OTU7759,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; g__Triticum; ; s__,0,0,0,0,0,0,0,0,0,0,0.000324167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000324167
OTU17696,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Astragalus; ; s__,0,6.83E-05,0.000234951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00030322
OTU29392,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Gagnebina; s__Gagnebina_commersoniana; ,0,0,0,2.40E-05,0,0,0,0,0,0,0,5.01E-05,0,0,2.97E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.93E-05,0,0,0,0,0,0,0,0,0,3.73E-05,3.09E-05,0,0,0,0,3.10E-05,0,0.000302372
OTU5757,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; ; g__; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.70E-05,0,0,0,0,0,8.05E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.80E-05,0,0,0,8.61E-05,0,0,0,0,0.000301551
OTU89208,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Solanales; o__Solanaceae; f__Solanoideae; g__Lycium; s__Lycium_carolinianum; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000297663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000297663
OTU32923,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Quercus; s__Quercus_rubra; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000290596,0,0,0,0,0,0,0,0,0,0,0.000290596
OTU51076,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Solanales; o__Convolvulaceae; f__; g__Merremia; s__Merremia_vitifolia; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000189925,0.000287473
OTU62880,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; g__Bromus; s__Bromus_porteri; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000284887,0.000284887
OTU24668,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; ; g__; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000178449,0,0,0,0,0,0,0,0,7.17E-05,0,0,0,0,3.42E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002843
OTU14356,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; g__Lagenophora; ; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000183318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.28E-05,0,0,0.000276108
OTU78390,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Bouteloua; s__Bouteloua_trifida; ,0,0,0,0,0,0.000208768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69E-05,0,0,0,0.000275698
OTU56336,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Brassicales; o__Brassicaceae; f__; g__Macropodium; s__Macropodium_pterospermum; ,0,0,0,0,0,0,0,2.85E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68E-05,0,0,0,0.000209908,0,0,0,0,0,0,0,0,0,0.000275247
OTU64969,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Hildaea; s__Hildaea_ruprechtii; ,0,0,4.70E-05,0,0,0,0,0,0,0,0,0,0,2.56E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020079,0,0,0,0.000273398
